,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
07/27/2019 20:08:55,14.84375,33.59375,0.78125,1.5625,12.6953125,33.54142,2.645588,5.24193573,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:08:56,13.28125,25.17361,17.4603157,17.2371025,18.2880764,33.8122559,2.66695023,5.22057343,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:08:57,10.15625,34.375,16.1538486,10.9134617,17.8996449,34.1087341,2.69033432,5.19718933,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:08:58,17.1875,34.290863,34.290863,14.84375,25.153244,34.77944,2.74323654,5.144287,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:08:59,56.25,43.75,36.71875,33.59375,42.578125,36.584034,2.88557434,5.00194931,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:00,36.71875,45.3993073,32.03125,17.96875,33.0295143,37.32279,2.94384384,4.94368,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:01,28.90625,29.5432682,23.4375,32.8125,28.6748772,38.4148865,3.02998352,4.85754,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:02,36.71875,36.71875,26.5625,23.4375,30.859375,39.1382141,3.08703613,4.80048752,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:03,26.8105145,24.3551617,18.75,14.0997047,21.0038414,39.4191132,3.109192,4.77833176,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:04,7.00721169,19.5192337,8.59375,2.31971145,9.35998,39.4559174,3.11209488,4.775429,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:05,9.375,26.5625,10.15625,7.8125,13.4765625,39.73483,3.13409424,4.75342941,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:06,24.28571,31.3983917,23.5714321,10.7142868,22.4924564,39.78924,3.13838577,4.749138,48,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:07,17.96875,28.9930573,17.1875,18.0555573,20.5512161,40.0654945,3.16017532,4.72734833,47,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:08,11.8644056,16.9209061,9.322035,5.9322,11.00989,40.0268021,3.15712357,4.7304,48,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:09,10.3174572,21.5053787,12.9032249,2.38095522,11.7767448,40.1156,3.16412735,4.7233963,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
07/27/2019 20:09:10,3.90625,3.1129837,2.3317337,1.5504837,2.72536278,39.9655762,3.15229416,4.73522949,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,44,42481,7455,89.76306,44,17.49215
