,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space"
08/02/2019 23:45:39,68.62745,43.1372566,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40.5,32.5,33,55,36,55,1170,2339,577,368,1149,89.0625,93.75,89.84375,91.40625,91.015625,51,51,51,49,52,3699.997,3699.997,3699.997,3699.997,62.3939323,51.9388924,0,5.74871635,99.99992,23.6952438,3.7767868,12.16222,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:40,68.62745,43.1372566,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40.5,32.5,33,55,36,55,1170,2339,582,363,1163,83.07693,78.46154,73.07692,84.61539,79.80769,49,51,50,49,51,3699.99585,3699.99585,3699.99585,3699.99585,60.72269,50.1977348,0,6.128586,99.9998856,23.744957,3.78471,12.1542969,30.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:41,68.62745,41.9607849,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.968,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40.5,32.5,33,55,36,55,1184,2339,582,360,1153,80.9523849,79.36508,80.15873,80.9523849,80.35715,49,53,52,49,52,3699.99854,3699.99854,3699.99854,3699.99854,61.62763,51.0636635,0,5.99966764,99.9999542,23.9261017,3.81358337,12.1254234,30.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:42,69.4117661,41.9607849,70.98039,70.98039,69.4117661,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,41,33,33,55,35,55,1180,2339,581,367,1135,80.46875,89.0625,83.59375,84.375,84.375,47,52,52,48,52,3699.996,3699.996,3699.996,3699.996,62.3075256,51.7474747,0,6.221475,99.99989,24.0782471,3.8378334,12.1011734,31.0000019,1041,0,331.22998,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:43,68.62745,43.1372566,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,40.5,33,33,55,36,55,1176,2339,577,363,1136,66.40625,65.625,73.4375,71.09375,69.140625,49,50,52,49,51,3699.99658,3699.99658,3699.99658,3699.99658,60.2680168,49.5820427,0,6.04005671,99.99991,24.222702,3.860859,12.0781479,30.0000019,1041,0,319.009979,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:44,67.05882,41.9607849,67.84314,67.84314,67.05882,100,0.864,1.03200006,3.36000013,3.36000013,1.03200006,1.968,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,38.5,33,33,55,36,55,1180,2339,579,358,1129,55.384613,50,53.0769234,62.3076935,55.1923027,45,49,47,47,49,3699.997,3699.997,3699.997,3699.997,54.6654472,43.84283,0,5.795362,99.9999161,24.0948868,3.84048462,12.0985222,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:45,66.27451,40,66.6666641,66.6666641,65.8823547,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.544,0.520000041,0.432,37,33,33,57,36,54,1162,2339,575,359,1117,39.0625,51.5625,30.46875,27.34375,37.109375,43,44,43,43,44,3699.997,3799.997,3699.997,3699.997,47.2671051,36.5239563,0,5.20709753,99.99992,23.9401779,3.81582642,12.12318,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:46,65.09804,39.6078453,65.8823547,65.8823547,65.09804,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.552000046,3.456,3.37600017,1.016,0.824000061,0.408000022,0.408000022,0.544,35.5,33,33,55,36,53,1154,2335,565,346,1086,42.1875,28.90625,35.9375,42.96875,37.5,44,42,40,43,44,3699.99683,3699.99683,3699.99683,3699.99683,43.39768,32.6412163,0,5.33877563,99.9999161,24.6972046,3.936489,12.0025177,30.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:47,65.09804,37.64706,65.8823547,65.8823547,65.09804,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.136,3.456,3.37600017,1.016,0.824000061,0.544,0.528,0.536,36.5,33.5,33,82,36,54,1127,2335,556,335,1072,37.4825134,40.90909,18.9860115,25.90909,30.8216743,47,48,41,43,48,3799.99487,3799.99487,3799.99487,3799.99487,42.322567,31.3349056,0,5.310827,99.99987,24.8194351,3.95597076,11.983036,30.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:48,64.31373,36.47059,64.70589,64.70589,64.31373,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.536,3.456,3.37600017,1.016,0.824000061,0.536,0.544,0.544,35,33.5,33,55,36,55,1125,2339,552,332,1090,28.6738338,45.96774,24.85919,34.47261,33.49334,43,46,45,42,48,3699.998,3799.998,3799.998,3699.998,44.18521,33.113327,0,5.47032261,99.99995,24.7353058,3.942562,11.9964447,30.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:49,61.56863,35.294117,61.9607849,61.9607849,61.56863,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.408000022,3.456,3.37600017,1.016,0.824000061,0.552000046,0.008,0.552000046,32.5,33.5,33,82,36,53,1111,2335,545,333,1054,25,19.53125,15.625,18.75,19.7265625,41,39,44,40,44,3799.99585,3699.996,3699.996,3699.996,29.4831028,19.2840347,0,5.096941,99.99989,24.7325287,3.9421196,11.9968872,30.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:50,60.7843132,34.5098038,60.7843132,60.39216,60.39216,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.408000022,3.456,3.37600017,1.016,0.824000061,0.056,0.216,0.344,31,33.5,33,82,35,53,1093,2335,536,315,1044,19.53125,7.03125,15.625,27.34375,17.3828125,37,36,42,38,42,3699.997,3799.997,3899.997,3699.997,26.06228,16.53665,0,5.04914045,99.99992,25.4199829,4.051693,11.8873138,30.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:51,60.7843132,30.9803925,60.7843132,60.7843132,60.7843132,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.37600017,1.016,0.824000061,0.344,0.008,0.008,31,33.5,33,96,35,53,1079,2339,531,305,1027,22.3076935,23.0769215,13.8461533,15.3846149,18.6538525,43,40,38,38,43,3799.99561,3699.99585,3699.99585,3699.99585,29.2217541,19.456686,0,5.188935,99.9998856,25.36087,4.04227066,11.8967361,31.0000019,1041,0,300.05,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:52,62.3529434,32.9411774,62.7451,62.7451,62.3529434,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.544,3.456,3.37600017,1.016,0.824000061,0.552000046,0.56,0.008,33.5,33.5,33,96,36,53,1071,2339,527,305,1021,24.6031761,35.71428,16.6666622,19.8412666,24.2063522,38,42,41,44,44,3699.99829,3699.99829,3699.99829,3699.99829,34.43655,24.1476231,0,5.14840746,99.9999542,25.4241257,4.052353,11.8866539,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:53,61.56863,34.11765,62.3529434,62.3529434,61.9607849,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.552000046,3.456,3.37600017,1.016,0.824000061,0.272,0.376000017,0.552000046,32.5,33.5,34,96,35,65,1086,2339,524,315,1020,26.5625,23.4375,17.1875,21.875,22.265625,39,40,44,41,44,3699.99561,3699.99561,3799.99561,3699.99561,32.75569,22.4648342,0,5.18000174,99.9998856,25.4175873,4.05131149,11.8876953,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:54,63.1372566,35.294117,63.52941,63.52941,63.1372566,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.064,3.456,3.37600017,1.016,0.824000061,0.56,0.008,0.008,32.5,33.5,34,53,35,65,1086,2339,527,317,1008,18.3823528,23.5294113,14.7058849,27.2058849,20.95588,42,43,41,39,41,3699.99487,3699.99487,3699.99487,3699.99487,31.75962,21.3283424,0,5.15706968,99.99986,25.4782181,4.060974,11.8780327,31.0000019,1041,0,300.29,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:55,62.3529434,35.294117,62.7451,62.7451,62.3529434,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.37600017,1.016,0.824000061,0.56,0.56,0.008,32,33.5,34,53,35,95,1089,2335,528,316,1021,9.016395,11.489069,24.5901642,17.2131176,15.5771914,38,35,38,43,43,3699.99951,3699.99951,3699.99951,3699.99951,24.4389229,14.9121284,0,5.060564,99.9999847,25.4712219,4.05986,11.8791466,31.0000019,1041,0,300,150,0.900000036,0,29,146.6274,83.06207,25,33.56878
08/02/2019 23:45:56,60.7843132,32.1568642,60.7843132,60.7843132,60.7843132,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.08800001,3.456,3.37600017,1.016,0.824000061,0.504,0.56,0.008,30.5,33,34,103,35,95,1094,2335,524,318,1018,17.6923027,19.9184189,3.8461566,19.23077,15.1719093,37,43,38,35,43,3699.997,3699.997,3699.997,3699.997,24.74547,15.1371727,0,5.059037,99.9999161,25.4819489,4.061569,11.8774376,31.0000019,1041,0,300,150,0.900000036,0,30,146.84082,83.04108,25,33.56878
08/02/2019 23:45:57,61.56863,32.9411774,61.9607849,61.56863,61.17647,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.08800001,3.456,3.37600017,1.016,0.824000061,0.56,0.56,0.008,31.5,33,34,103,35,95,1076,2339,521,316,991,1.5625,35.15625,7.8125,5.46875,12.5,37,42,37,35,42,3699.95874,3799.95776,3799.95776,3699.95874,22.5294418,12.9260941,0,5.051982,99.9988861,25.4336472,4.053871,11.8851357,31.0000019,1041,0,300,150,0.900000036,0,30,146.84082,83.04108,25,33.56878
08/02/2019 23:45:58,62.3529434,34.11765,62.7451,61.9607849,61.56863,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.08800001,3.456,3.37600017,1.016,0.824000061,0.208,0.552000046,0.0720000044,32,33,34,103,35,95,1086,2335,521,312,1007,7.03125,24.21875,27.34375,14.84375,18.359375,38,44,42,37,42,3800.03418,3700.03345,3700.03345,3700.03345,27.08761,17.2643185,0,5.09505749,100.0009,25.4051437,4.049328,11.889679,31.0000019,1041,0,300,150,0.900000036,0,30,146.84082,83.04108,25,33.56878
08/02/2019 23:45:59,64.31373,34.9019623,64.70589,64.70589,64.31373,100,0.872000039,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.528,3.456,3.37600017,1.016,0.824000061,0.528,0.528,0.528,35,33,34,55,36,55,1094,2339,520,317,1011,34.375,44.53125,28.90625,35.9375,35.9375,44,43,43,43,44,3699.99658,3699.99658,3699.99658,3699.99658,46.4129181,35.6846657,0,5.63763046,99.99991,25.6655121,4.090828,11.8481789,31.0000019,1041,0,318.75,150,0.900000036,0,30,146.84082,83.04108,25,33.56878
08/02/2019 23:46:00,64.31373,36.47059,65.09804,65.09804,64.31373,100,0.880000055,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.56,3.456,3.37600017,1.016,0.824000061,0.136,0.136,0.528,35.5,33,34,54,36,54,1124,2339,530,329,1033,32.03125,28.90625,24.21875,28.125,28.3203125,38,46,38,40,46,3699.99731,3699.99731,3799.997,3699.99731,32.8797646,22.725975,0,5.232176,99.99992,25.7443771,4.10339737,11.8356094,31.0000019,1041,0,300,150,0.900000036,0,30,146.84082,83.04108,25,33.56878
