,/lpc/nct6791d/control/0,/lpc/nct6791d/control/1,/lpc/nct6791d/control/2,/lpc/nct6791d/control/3,/lpc/nct6791d/control/4,/lpc/nct6791d/control/5,/lpc/nct6791d/voltage/0,/lpc/nct6791d/voltage/1,/lpc/nct6791d/voltage/2,/lpc/nct6791d/voltage/3,/lpc/nct6791d/voltage/4,/lpc/nct6791d/voltage/5,/lpc/nct6791d/voltage/6,/lpc/nct6791d/voltage/7,/lpc/nct6791d/voltage/8,/lpc/nct6791d/voltage/9,/lpc/nct6791d/voltage/11,/lpc/nct6791d/voltage/12,/lpc/nct6791d/voltage/13,/lpc/nct6791d/voltage/14,/lpc/nct6791d/temperature/0,/lpc/nct6791d/temperature/1,/lpc/nct6791d/temperature/2,/lpc/nct6791d/temperature/3,/lpc/nct6791d/temperature/5,/lpc/nct6791d/temperature/6,/lpc/nct6791d/fan/0,/lpc/nct6791d/fan/1,/lpc/nct6791d/fan/2,/lpc/nct6791d/fan/3,/lpc/nct6791d/fan/4,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #5","Temperature #6","Fan #1","Fan #2","Fan #3","Fan #4","Fan #5","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Total LBA Written","Used Space","Temperature","Used Space","Used Space"
04/10/2019 21:32:31,65.8823547,30.9803925,66.27451,66.27451,65.8823547,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.47200012,3.36000013,1.12,0.832,0.584000051,0.592,0.592,37,26,28,51,35,50,956,2356,501,243,1101,73.4375,82.03125,80.46875,85.9375,80.46875,48,49,49,47,50,4099.995,4099.995,4099.995,4099.995,75.7831345,65.26994,0,6.78421,99.9998856,17.44593,2.78070831,13.1582985,26.0000019,1321,0,320.05,1500,1.087,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:32,67.84314,35.6862755,69.8039246,69.4117661,68.2353,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.47200012,3.36000013,1.12,0.832,0.584000051,0.592,0.592,40,26,28,51,35,50,1022,2356,529,266,1150,74.21875,80.46875,67.1875,81.25,75.78125,48,51,53,47,52,4099.997,4099.997,4099.997,4099.997,77.08035,66.71347,0,5.97936,99.99993,18.0568314,2.87807846,13.0609283,26.0000019,1321,0,307.669983,1500,1.087,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:33,68.62745,40.7843132,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.832,0.584000051,0.592,0.592,40,26,28,51,35,50,1055,2360,542,288,1194,87.5,89.84375,83.59375,83.59375,86.13281,46,52,47,44,52,4099.996,4099.996,4099.996,4099.996,76.53415,66.18106,0,5.798997,99.99991,18.424408,2.9366684,13.0023384,25.0000019,1321,0,310.44,1500,1.087,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:34,68.62745,41.5686264,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.832,0.584000051,0.592,0.592,40.5,26,28,51,35,50,1058,2351,549,292,1214,75,85.15625,79.6875,81.25,80.27344,48,51,49,48,51,4099.997,4099.997,4099.997,4099.997,75.98525,65.75079,0,5.46772,99.99993,19.0958328,3.043686,12.8953209,25.0000019,1321,0,362.669983,150,1.125,8,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:35,68.62745,41.9607849,70.19608,69.8039246,68.2353,100,0.864,1.03200006,3.36000013,3.36000013,1.03200006,1.97600007,0.584000051,3.456,3.36000013,1.12,0.824000061,0.584000051,0.592,0.592,39.5,26.5,28,51,35,50,1074,2351,556,295,1221,87.5,86.71875,81.25,86.71875,85.546875,46,50,44,46,49,4099.99658,4099.99658,4099.99658,4099.99658,75.62901,65.2489,0,5.74446154,99.99991,20.0448532,3.19495,12.7440567,26.0000019,1321,0,329.08,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:36,67.84314,40.7843132,69.01961,68.62745,67.45098,100,0.864,1.03200006,3.36000013,3.36000013,1.03200006,1.97600007,0.584000051,3.456,3.36000013,1.12,0.832,0.584000051,0.584000051,0.592,38.5,26.5,28,50,35,50,1076,2356,561,295,1235,56.25,57.03125,57.8125,62.5,58.3984375,48,51,48,47,50,4099.99658,4099.99658,4099.99658,4099.99658,69.77273,59.1270981,0,5.53044844,99.9999161,20.8345413,3.32081985,12.618187,26.0000019,1321,0,540.57,150,0.900000036,24,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:37,68.62745,41.9607849,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.824000061,0.584000051,0.592,0.592,40.5,26.5,28,51,35,50,1060,2351,561,294,1198,85.9375,90.625,87.5,90.625,88.671875,48,51,50,48,52,4099.99561,4099.99561,4099.99561,4099.99561,77.40617,67.04501,0,6.26057339,99.99989,20.7582474,3.3086586,12.6303482,26.0000019,1321,0,403.05,150,0.900000036,1,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:38,69.4117661,43.1372566,70.98039,70.98039,69.4117661,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.824000061,0.584000051,0.592,0.592,41.5,27,28,51,35,50,1083,2356,567,299,1232,96.875,97.65625,97.65625,98.4375,97.65625,51,55,52,48,55,4099.997,4099.997,4099.997,4099.997,80.0239258,69.72438,0,6.381687,99.99993,21.6878357,3.45682526,12.4821815,26.0000019,1321,0,309.199982,1500,1.087,19,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:39,69.4117661,43.1372566,70.98039,70.98039,69.4117661,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.47200012,3.36000013,1.12,0.824000061,0.584000051,0.592,0.592,41,27,28,51,35,50,1101,2351,569,308,1228,91.40625,89.0625,90.625,95.3125,91.60156,48,51,48,46,51,4099.996,4099.996,4099.996,4099.996,76.37076,65.96888,0,6.406259,99.9999,22.2241058,3.54230118,12.3967056,27.0000019,1321,0,342.08,1500,1.087,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:40,68.62745,41.9607849,70.19608,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.824000061,0.584000051,0.592,0.592,40.5,27.5,28,51,35,50,1096,2351,575,308,1240,70.3125,70.3125,70.3125,84.375,73.828125,48,51,50,45,50,4099.99561,4099.99561,4099.99561,4099.99561,73.582634,63.0669365,0,5.89067364,99.99989,22.95739,3.65917969,12.2798271,26.0000019,1321,0,496.72998,150,1.125,62,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:41,65.4902,40.7843132,66.27451,66.27451,65.4902,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.6,3.456,3.36000013,1.11200011,0.832,0.592,0.512,0.448,35.5,27.5,28,51,35,50,1094,2360,572,301,1239,43.75,38.5540657,38.5540657,47.65625,42.1285973,40,40,42,44,44,4099.99756,4099.99756,4099.99756,4199.99756,59.080513,48.1559334,0,5.40689468,99.99994,22.80436,3.63478851,12.3042183,26.0000019,1321,0,303.13,150,0.900000036,38,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:42,65.8823547,38.4313736,66.27451,66.27451,65.4902,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.11200011,0.824000061,0.584000051,0.592,0.592,36.5,27.5,28,51,35,50,1053,2351,565,289,1175,55.46875,48.0408669,57.4639435,66.40625,56.8449478,45,49,45,47,49,4099.994,4099.994,4099.994,4099.994,66.8539658,56.2009773,0,5.63474035,99.999855,23.0761261,3.6781044,12.2609024,26.0000019,1321,0,305.09,150,0.900000036,4,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:43,67.84314,38.82353,68.62745,68.62745,67.84314,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.832,0.584000051,0.592,0.592,39,27.5,28,51,35,50,1059,2356,558,287,1189,73.8461456,81.53846,76.15385,83.07693,78.65385,49,51,49,46,50,4099.684,4099.684,4099.684,4099.684,73.70003,63.1921654,0,6.28887033,99.9922943,23.5329056,3.75091171,12.1880951,27.0000019,1321,0,665.92,150,1.25,35,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:44,69.4117661,40.7843132,70.98039,70.98039,69.4117661,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.47200012,3.36000013,1.12,0.832,0.584000051,0.592,0.592,41.5,28,28,51,35,50,1068,2351,559,294,1208,89.68254,90.47619,92.85714,91.26984,91.07143,50,54,53,50,52,4100.31738,4100.31738,4100.31738,4100.31738,77.7502747,67.39053,0,6.43039036,100.007744,24.02404,3.829193,12.1098137,26.0000019,1321,0,316.47998,150,0.900000036,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:45,68.62745,43.1372566,70.19608,70.19608,69.01961,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.832,0.584000051,0.592,0.592,41,28,28,51,35,50,1097,2356,566,309,1231,75,76.5625,63.28125,79.6875,73.63281,47,51,52,48,52,4099.99658,4099.99658,4099.99658,4099.99658,73.10314,62.5743561,0,5.985232,99.99991,24.6574554,3.930153,12.0088539,26.0000019,1321,0,301.32,1500,1.087,1,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:46,68.62745,41.9607849,69.8039246,69.8039246,68.62745,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.584000051,3.456,3.36000013,1.12,0.824000061,0.584000051,0.592,0.592,40.5,28,28,51,35,50,1094,2351,565,311,1235,53.90625,57.03125,51.5625,70.3125,58.203125,49,52,47,47,53,4099.997,4099.997,4099.997,4099.997,71.03754,60.46903,0,5.755815,99.99992,25.1142883,4.002968,11.936039,26.0000019,1321,0,311.97998,150,0.900000036,4,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:47,68.62745,41.9607849,70.19608,70.19608,69.01961,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.968,0.584000051,3.456,3.36000013,1.12,0.824000061,0.584000051,0.592,0.592,41,28.5,28,51,35,50,1104,2356,567,310,1219,79.6875,85.15625,83.59375,82.03125,82.61719,50,53,52,50,53,4099.995,4099.995,4099.995,4099.995,76.11252,65.6402359,0,6.433632,99.9998856,26.0396576,4.150463,11.7885437,27.0000019,1321,0,374.52,1500,1.087,0,23,-379.675323,79.92377,20,28.94059,74.7142258
04/10/2019 21:32:48,67.45098,41.9607849,68.62745,68.62745,67.05882,100,0.864,1.03200006,3.36000013,3.36000013,1.04000008,1.97600007,0.6,3.47200012,3.36000013,1.12,0.832,0.592,0.440000027,0.592,37.5,28.5,28,63,35,49,1100,2351,573,315,1223,47.65625,43.75,45.3125,53.125,47.4609375,43,46,47,44,46,4199.997,4099.997,4199.997,4199.997,64.40999,53.6789665,0,5.88679647,99.99993,26.1507111,4.1681633,11.7708435,26.0000019,1321,0,317.259979,150,0.900000036,0,25,-379.2659,80.1674652,20,28.9489975,74.7142258
