,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Host Writes to Controller","Host Reads","Used Space","Temperature","Used Space"
04/07/2019 01:16:42,17.96875,10.0841341,8.533657,10.8774071,11.8659792,63.83233,5.03479,2.85273361,0,139,405.000031,278,0,0,0,4096,75,4021,1.83105469,33,30262,5856,82.4655151,33,21.11097
04/07/2019 01:16:46,25.73222,18.8284512,22.5941486,19.45607,21.6527214,67.71023,5.34066,2.54686356,24,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,33,30262,5856,82.4655151,33,21.11097
04/07/2019 01:16:47,39.2857132,38.3928528,34.8214264,38.3928528,37.7232132,67.42904,5.31848145,2.56904221,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:02,48.4375,40.94742,41.40625,41.69147,43.12066,68.43302,5.39767075,2.489853,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:03,49.8774529,54.96488,48.77451,53.0008,51.65441,71.69457,5.6549263,2.23259735,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:04,83.33333,80.8333359,87.5,88.3333359,85,70.3592,5.54959869,2.337925,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:05,85.9375,90.625,88.28125,87.5,88.08594,71.1987,5.615814,2.27170944,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:06,90.625,90.625,89.0625,96.09375,91.60156,71.16591,5.613228,2.27429581,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:07,63.0769272,57.6923065,59.23077,62.3076935,60.5769234,71.62014,5.64905548,2.23846817,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:08,41.26984,26.9841251,37.30159,38.0952377,35.9126968,71.59194,5.64683151,2.24069214,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:09,33.59375,25.78125,26.5625,27.34375,28.3203125,69.31237,5.46702957,2.420494,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:10,25.3846169,20.7692261,8.4615345,22.3076935,19.2307644,69.32606,5.468109,2.41941452,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:11,29.3650742,23.8095226,22.2222214,27.7777786,25.7936478,69.91774,5.514778,2.37274551,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:12,28.90625,21.09375,19.53125,23.4375,23.2421875,70.1531754,5.533348,2.35417557,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:13,50.78125,44.53125,42.96875,52.34375,47.65625,69.28969,5.46524048,2.42228317,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:14,44.53125,39.84375,40.625,46.09375,42.7734375,70.25299,5.54122162,2.346302,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:15,11.71875,13.28125,14.84375,13.28125,13.28125,69.50568,5.482277,2.40524673,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:16,7.03125,12.5,10.15625,10.9375,10.15625,69.39604,5.473629,2.41389465,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
04/07/2019 13:14:17,6.25,4.6875,2.34375,3.125,4.1015625,69.3296356,5.46839142,2.41913223,0,607.5,405.000031,1215,0,0,0,4096,75,4021,1.83105469,25,30262,5856,86.45635,23,21.11097
